0.7235212,0.0585118,0.6784763,0.112975,-23.541,123.142,-159.86,0.0100641
0.7235417,0.0584989,0.6784522,0.1129948,-23.537,123.143,-159.858,0.0098997
0.7235262,0.0585637,0.6784453,0.1131021,-23.539,123.15,-159.852,0.009867
0.7235662,0.058472,0.6784163,0.1130677,-23.535,123.156,-159.845,0.0099188
0.7235512,0.0584226,0.6784331,0.1130885,-23.538,123.165,-159.842,0.0102191
0.7235264,0.058396,0.6784611,0.1130927,-23.537,123.17,-159.842,0.0098634
0.7234925,0.0584826,0.678463,0.1132533,-23.541,123.18,-159.833,0.0094799
0.7234553,0.0585321,0.6784773,0.1133801,-23.544,123.182,-159.838,0.0096205
0.7234174,0.0586578,0.6784764,0.1135621,-23.552,123.192,-159.82,0.0096427
0.723425,0.0585271,0.6785033,0.1134199,-23.557,123.186,-159.817,0.0099165
0.72339,0.0585822,0.6785297,0.1134571,-23.565,123.187,-159.81,0.0093253
0.7233712,0.0585392,0.6785587,0.113426,-23.575,123.192,-159.805,0.0092668
0.7233991,0.0584288,0.6785549,0.1133267,-23.582,123.196,-159.797,0.0093217
0.723411,0.0582918,0.6785806,0.1131678,-23.592,123.191,-159.796,0.0092749
0.7234507,0.0581826,0.6785726,0.1130187,-23.597,123.186,-159.79,0.0090318
0.7234874,0.0580657,0.6785623,0.112905,-23.606,123.184,-159.78,0.0092696
0.7235418,0.0578429,0.6785606,0.1126805,-23.607,123.184,-159.789,0.0094866
0.723562,0.0576949,0.6785785,0.112519,-23.612,123.186,-159.782,0.009427
0.723612,0.0575401,0.6785664,0.1123496,-23.613,123.179,-159.792,0.0093331
0.7236228,0.0574991,0.6785587,0.1123473,-23.618,123.185,-159.783,0.0092283
0.7236603,0.0573904,0.6785374,0.1122903,-23.617,123.191,-159.781,0.0095379
0.7237102,0.0572661,0.6785134,0.1121773,-23.615,123.194,-159.778,0.0092621
0.723738,0.0572238,0.6784983,0.1121105,-23.608,123.192,-159.787,0.0089121
0.723756,0.0571923,0.6784887,0.1120686,-23.606,123.199,-159.784,0.0087789
0.72377,0.0571324,0.678489,0.112007,-23.607,123.198,-159.786,0.0087801
0.7238198,0.057025,0.6784677,0.1118693,-23.607,123.196,-159.784,0.0091066
0.7238487,0.0570103,0.6784461,0.11182,-23.607,123.193,-159.785,0.0089505
0.7239145,0.0568904,0.6784146,0.1116463,-23.603,123.187,-159.789,0.0086935
0.7239583,0.0567415,0.6784108,0.1114606,-23.601,123.186,-159.788,0.0086675
0.7239965,0.056654,0.6783932,0.1113642,-23.595,123.185,-159.795,0.0085217
0.724029,0.0565598,0.6783885,0.11123,-23.595,123.174,-159.799,0.0082099
0.7240653,0.056431,0.6783875,0.1110646,-23.595,123.165,-159.801,0.0082817
0.7240784,0.0563241,0.6784007,0.1109525,-23.599,123.158,-159.798,0.0084143
